,reviews
1870,"
Boat is doing really good in terms of manufacturing earphones. The sound quality and base will definitely impress you if you are into listening loud music. Overall I’m very happy with these earphones and they are quiet durable as well.If you want to buy earphones with an affordable price. This is your best shot. Go for it
"
1871,"
Sometimes hissing sound comes up while on phone call using these earphones. When on webex calls, and if there is any incoming call which u disconnect then, webex call volume is reduced and i have to replug it to get back the original volume level
"
1872,"
The earphones one side stoped working within a month might be a default piece for me but yah it got spoilt within a month but it has a 1year warranty so I am safe I hope they come and collect the earphones and give me a New ProductOverall the product is superb nice sound quality nice packing comes with a pouch to keep earphones..
"
1873,"
Everything is good as mentioned & using from last 10days & working fineOnly durability is little but less rest is all good
"
1874,"
Boat basshead 450 has very clear sound and bass is also good.Many comparison videos on youtube says that boat 225 has better bass than 242 it is true because i also had 225. But the difference is not so big you will barely feel the difference in bass. If you did not compare both earphone together you will not find any difference.Overall 242 has nice sound quality and bass. You can buy it.
"
1875,"
I bought two headphones, in both of them mic stopped working in few days.Pathetic quality.Are you making it in China.No buy for me.
"
1876,"
For most of the users it's absolutely suitable ...build quality is osm... sound quality is great for me... noise cancellation is moderate...And the boat is the brand in itself...:)Thanks Boat ❤️
"
1877,"
Sound Quality SUCKS! I've used 3 headset of BOAT but this one's sound quality is worst among them! I've used Boult Loop headset who's base and vocals are far better than this one which was available at lower price than this one at Flipkart! I bought it at ₹450!
"
1878,"
Sound quality is good but much on bass side. Everything was working good till suddenly left earpiece died out of the blue, and that too before even completing 1 month!!!Got the replacement after a month of wait, and that too is dead now !!
"
1879,"
You will love this earphone. Sound quality is good and you can listen to each beat easily and at this price no brand will give u performance like this ,wire is of good quality and easy to untangle. Using it for few month. Mic quality is good too and there is a clipper in it to clip earphone to your shirt/t-shirt that's a good one and very useful l.
"
1880,"
So I bought this product because i need a cheap earphone giving a good experience on my PS4. I was really satisfied with these earphones, Bass is next level, sound quality is absolutely OK’ish/really good, as the earphones are completely covering your ear, there is a fair amount of noise cancellation. Best experience is listening to music. For me, for this price these earphones are good for gaming and music and other internet surfing.
"
1881,"
Product is awesome .....But delivery service in this area is pathetic .This is not for this product only....every amazon delevry service in this area is very much downgraded...Its requeat from amazon to change their delivery partner in this area
"
1882,"
For the price point, it's the best. Bass is thumping, sound might be a bit more clearer in realme buds 2, but again, this is cheaper. And also 1 yr warranty, realme comes with 6 months. All in all, good product.
"
1883,"
Very good sound, good aesthetic. But giving problem after a month. Volume suddenly becomes maximum again and again damaging your ears. Tried on other phone, still the problem. We have asked for replacement
"
1884,"
Product is very Nice audio quality is Best By boat ❤️❤️  GOOD PRODUCT AT LOW PRICE OVERALL VALUE FOR MONEY .BUT THERE IS ONE PROBLEM WITH THE PRODUCT NOT SO STRONG  CABLES WHICH CAN GET BROKE ANYTIME, THATS THE ONLY THING THAT I DON'T LIKE IN THIS EARPHONE 🥲😑
"
1885,"
Right earpiece is not working properly. Received a defective product. Really disappointed! I haven't expected this from a big brand like boat.This is the second time i bought this earphone. First one worked for about 5-6 months. But this one not even a day. I have submitted its replacement.
"
1886,"
This earphone worked perfectly, and for the price it is one of the bests in the market. I contacted bOAt in the middle for some repair issues and they were veru courteous and helpful too. I have been exclusively using their products for the past two years
"
1887,"
Pathetic headset, right side ear piece stopped working within a month.
"
1888,"
Overall sound and product quality is good. But the I find it little bit uncomfortable wear the earphones for long.Since we are working from home. I end up wearing it for couple of hours in a go. And then it starts to hear.
"
1889,"
Nice Brand. Sound Quality amazing. After 6 months of usage, one ear side not working... Applied Warrenty. They replaced with the new piece. Love it.. Their warranty policy is great....
"
1890,"
This is the best priced item which i have bought in Amazon...its actually good to go without any hesitation
"
1891,"
I have been using this for almost 2 monthsBass is goodCall quality is excellentIt's good for both music and moviesAlthough if you wear it for a long time ur ears starts to feel a little uncomfortableOther than thatIt's a amazing earphone go for it
"
1892,"
The clip is of different colour , Sound quality is good noise cancellation is not available at all, bass is ok but in comparison of other earphones it's not upto the Mark at this price of 499. And it's hard to insert 3.5 jack it's slips.and glitch more.
"
1893,"
i bought 3rd boat product and m very much satisfied with boat product and this earphone i have say that must buy in this price range its very good
"
1894,"
I bought second time same product I'm really happy with his sound bass and noise cancellation best killer budget earphones ever !!! Don't go for reviews if u have ₹500 and in sale u may get ₹350 go for it and it's wide color variety awesome product
"
1895,"
Amazon delivery is very fast and neat....but the Sound quality is very cheap...it is not producing a sound quality to the price...very disappointed...there no option of return
"
1896,"
I am big fan of this company since I bought my first boAt bass head. It has no problem at all Bass is good can be more affective(but according to price it is good), Noise Cancellation is perfect, Sound can be better if your phone has inbuilt Dolby then there is not any problem. But sound needs to be improve. But still its not that expensive if u want perfected earphone try JBL.
"
1897,"
Very gud product, i have purchased 2 for my husband and my father. They have a wrong ear problem where other earphones even costly ones slip out every now and then. But this one stays and they are finally happy with an earphone which i have got them!!! Very gud one and highly recommeded.Sound quality is also amazing.
"
1898,"
It is too loud you can not use it above 30-35% valume and totally uncomfortable in ear it's like 100 rs earphone by its actual quality. I do not recommend to buy this product even in offer you can find better then this total west of money I am feeling regret feeling cheated after buying this.
"
1899,"
Wires are so thin and after some time ears slightly starts paining while listening in this earphone these only the problem with this but all other things like sound quality, bass etc. are superb.
"
1900,"
It's not even a month and it's has stop functioning properly. The sound is almost gone. And it creates a buzzing noise when plugged in.My experience with Boat headphonest keep getting bad
"
1901,"
Arrived packing intact, requested colour, and on time. Tried them with LG & Mi smartphones and they work as advertised. Good treble and bass and adequate dB levels. Noise cancellation does not apply and I do not expect it at this price point.
"
1902,"
It's high on bass and quite loud. However, it doesn't ruin the soul of a melody either. Go for it if tiye budget is under 500
"
1903,"
Pros:1 ear support for sports activities2 volume controls3 multipurpose button4 earphone carry case5 clipCons1 less bassRest everything is fine, decent earphones for work from home. Most unexpected feature was of volume control.
"
1904,"
Its good i have used it early and when brother bought so i thought i would also buy this amazing product and enjoy it and its noise cancellation have to improve some more and the bass is high and sound quality is also good..........i love this product and its a monster for pubg i recomment this you to buy if you are looking for a speaker.....bye
"
1905,"
Bought this for the second time. Bought a pair for another person as well. Best earphones among the ones I've used till date. Earplugs are there so that it doesn't fall while walking. The sound quality is amazing!
"
1906,"
It’s surprisingly good sounding earphone for 400 odd rupees. Clear sound. Good bass. Wire is sturdy and doesn’t feel like it’ll snap if mishandled. Doesn’t hurt your ear even with long hours of use. The buds are soft and bendable so fits very comfortably.Overall very good.
"
1907,"
Good sound quality compared to price. I bought it at rs350 on offer. At this price this is a good choice.
"
1908,"




                    The media could not be loaded.
                



 Anything like a normal headphoneIt's designed very coolIn this price range it is awesome 👌And also good for gamingNo problem
"
1909,"
Worest product...i purchased this product on 22nd jan..2021...one month it works good...after that the music is suddenly down,volume goes to zero,ear grips are loose...google asst is open,audio songs is jump automatically to another...much irritating...i disappinted at this product...
"
1910,"
I purchased this product in Feb 2021. Today, in August the product wires have actually got split within 7 months of purchase. If this is supposed to last only 6-7 months then why buy an expensive earphone !! Shoddy product quality! Better to stay away from this..
"
1911,"
Sound quality and the bass quality is pretty good in this price range.But i didn't get the good item in first deliveryI've to replace it with the new one.Hope Boat will improve their services towards the products and make them better than beforeSo that customers can get the best item in their first delivery.
"
1912,"
Product is worth penny, bass is good, fits perfectly and do not hurt your ears even if you use it for hours,packaging:- packaging was brilliant and also you'll be given extra buds, good quality pouch to keep the earphonesalso it comes with 1 year manufacturing warrantyand you'll get a cable clip manager for adjusting the earphones for your comfort.overall I'll say its awesome.Thank you Boat.
"
1913,"
First of all....Boat earphones are no doubt excellent. I'm using it since 8 months. If you are buying any of boat earphones, just relax and go for it, you will not have any complaints with the boat company (if you are using it properly).But I have a complain about the Amazon company.. packaging is not worthy. I expected it much better. Hope the company will overcome this.Thank you.
"
1914,"
Put in extra couple hundred bucks and go for realme buds 2 or buds neo. Pathetic sound quality. You can't enjoy all genres of music in this,maybe the baasy music a bit but that's it, lyrics fade from music, it's not soft, it's just loud that's itNo serious music lover shall go for this.
"
1915,"
Almost like Senheiser within good rate. It's sound is better when you listen to music even when you minimize it's volume, except for it's bass. It's sound quality is also good on audio calls on any app. It also does look stylish with the type of earbuds it has got which fits well on ears.
"
1916,"
It is the best earphone for price I have tried many earphone best it is the best so far it is good for gaming listening music and it's mic quality is also good. But it's your choice after all u can buy either this or realme buds 2 U will not regret  so at last it's your choice.
"
1917,"
Worst earphones ever.My left earbud was not working at all so we applied for return and inreturn they gave us , another non working earfones.Buttons dont work properly and our mobile start opening another apps like google and even start calling randomly.Do not buy this earphones ever.They're fraudsters!
"
1918,"
A really great buy under 500 bucks. These are really comfortable in my ears. it gives loud and sharp voice. Bass quality is pretty good, build quality looks great. I'm writing this review on the base of the first look that I have on the product.
"
1919,"
Its overall a good quality earphone, more bass than treble. If your criteria is bass then go for the 220, I felt I downgraded myself switching from 220 to 240.The 220 has metal buds which feel premium while this is plastic and feels cheap, also the 220 has a right angled headphone jack which makes it sturdy and good for long time use, the 242 doesn't
"
1920,"
Has a crispy soud quality. Good for melodious romantic songs. Adequate bass. But the quality of the bass could be improved. Good built quality but wire would have been better. Such wire may be tangle free but does not lasts long. Most import thing is the position of in line mic and volume control wich is not available in most of the products at even higher prices.
"
1921,"
I have used Boat 100 bassheads and even Boat  450 headphones. I absolutely loved the Boat sound but these headphones were a disappointment that I had to return them. There was very minimal bass and sound clarity was like the earphones u get inside a flight. I had to get these cause the boat 450 broke blame it on plastic build quality and the Boat 100 stopped working. But I would pick the Boat 100 anytime if you want a good budget earphone.
"
1922,"
After sharp 6 months, left earbud's volume is disappeared. It's gone. Waste of money ₹550.  Even my ₹400 worth samsung earphone works well for 2years. And Karbonn Titanium Machfive Mobile's in-box headphone lasts for 3 years. Totally disappointed by boAt. IT SINKS IMMEDIATELY AFTER STARTING THE VOYAGE.
"
1923,"
First of all I am one of the big fan of BOAT, they have a quality with variant of colors.. love the green and got the 💚 green..In terms of sound it's always awesomeIn terms of quality it's amazing.Go with BOAT, no need to think twice.
"
1924,"
I was looking for budget earphones that I could use during my runs.Bam!! These earphones are loud, provide you ample noise isolation, don't fall off even during your hard running sessions!! And have decent audio quality with very very good bass.I would highly recommend these earohones if you're looking for something that doesn't fall off during runs and workout sessions.
"
1925,"
Mind blowing purchase. Best product in the market with affordable price. boAT company keep it up. Sound quality superb
"
1926,"
with in 2 days microphone stopped working and dedicated keys also not working for my mobile...I used Boat Bluetooth for longtime but this product is very disappointed one
"
1927,"
Actual great upgrade from boat bassheads 225...and cable quality is simple awesome,Boat always prefer user recommendation and provide the robust and quality product.
"
1928,"
Poor bass quality.Ghost commands by wiring issues.Not satisfied with it.Nearly after 6 months, its left side has stopped working.This product is crap!!!
"
1929,"
Sound quality superbUsing this since 4 months and no problem reported till now..Not a single side is stopped..Both earplugs are working perfectly.. if u are wondering to buy or not..Buy it for sure.. grab this deal ..!  they are not noise cancellation..bt for regular and casual wear..it is superb and budget friendly..Go for it!!
"
1930,"
A buzzing sound while callingSound quality for songs is goodI replaced that and got a new one which is really good
"
1931,"
Might be good for phone calls but music is average. Boss average.You can listen good music in low volume.Not suggested for music lovers.
"
1932,"
I have been using jbl 200 earphones from my school days. But this earphones are the best. U cant get that jbl base but the sound quapity is so real. if u plug it in u feel like u r hearing with a surround system. U will not feel u r wearing  earphones. so comfortable. Sound will blow ur head. Half the volume is enough al the time. thats how high the sound is. Plz go for it. THE BEST.
"
1933,"
All is good except it's transparent rubber hook which keeps falling off from its position. It's uncomfortable when every time to put it back to its place
"
1934,"
I think it is best product at its price point ..It is provided with volume control rocker and phon pick up button....Has descent bass sound quality and durability....It has week wire bt careful handling overcome this problem....
"
1935,"
I buy this earphone so that I can use wired earphones while working at office or when I need charge my Bluetooth earphones. And this earphone from BoAt is really a great purchase but if you are not like to use a little hard earphones then this is not for you .
"
1936,"
Great earphone at this price range.Pros: Wire has some coating over it which is great. Bass is good. It has volume & next buttons. Earbud is small in size which fits verywell in ears and doesn't come out like my earlier basshead 225.Cons: You can NOT hear song at full volume since it has loud sound, but it can be avoided by hearing at less volume.Overall i liked it and worth to buy.
"
1937,"
Quality is super noise is louder, bass quality is excellent. Also call quality is excellent. 60-70%sound is enough loud. Only drawback is it hurts after 2-2.5 hours of use and it's not tangle free cabel. I will give three Star for its design otherwise quality is excellent
"
1938,"
The headphones has ear connector that makes it firmly attached to the ear. This is very helpful as sometimes the bud is not enough. The sound quality is awesome.
"
1939,"
I have received less Quality ear plugs (rubber material) and overall red is not good option instead of red colour take black color earphones in this product
"
1940,"
I have purchased it on December but it stopped working on May. But using 1year warranty , boat replaced the damage produect with a new same earphone by door to door delivery. I didn't spend any money for claiming my warranty. Besides sound is very nice and heavy . I am enjoying. Thanks boAt.
"
1941,"
The product was really good and it has a warranty of one year. Within 6 months I had a problem with this product and the warranty claim contact person are not available. The number mentioned over here for warranty claim is not reachable.
"
1942,"




                    The media could not be loaded.
                



 Earphone seems like it already used by someone as u can see in pictures its earphone connector is tilted and product packaging is very very rubish & poor.This is NOT expected from Amazon .& Second time after replacing item its not support my device realme 8 5G.
"
1943,"
Fell for the color at once but i was paranoid about the in-ear extensions. I read a couple of reviews which said that it can be uncomfortable while lying down but they are removable and the earphones can be used as regular earphones while not working out or running.The bass is obviously very good as the name suggests. Mic is sensitive enough. Sound is crisp and clear.I think its a good choice for the price range. (Got it for 500 INR)
"
1944,"
Facing issues with mic even before completion of 1 month.Sound quality is amazing but what do I do with good sound quality if the build quality doesn't support.I was a boat head, but very disappointed after this product.
"
1945,"
I purchased this product in April 2021 with one year warranty.... but its been only 8-9 months these are giving some serious problems..... m not able to take calls or not even able to listen music.... headphones will stop responding in between calls and volume will increase and decrease on its own...
"
1946,"
I am using this headphone 🎧 for more than 3 months and I am happy of it's specs. In the beginning my ears have a pain due to the large hooks even though it is made up of soft material and after a month of usage I was used to it and I didn't have any pain. The next this is it's sound quality is very outstanding and I love to hear sounds with this and it's bass quality is also good.
"
1947,"
When you're in closed room than you can feel the bass, but when you're on the go driving or outside you won't get that bass as outside noise would make loud music down. For those who like loud music this is not the one you're searching for;This can be used for calling or daily use but not for music lovers.
"
1948,"
Sound quality is excellent..Bass is also goodNoice cancellation is average.Anyway it is absolutely value for money product from boat
"
1949,"
Sound quality is good as always, boat has come out as one of the dependable brands.Active Noise cancellation you just can't except at this price but passive one is there. Moisture wicking is amazing.
"
1950,"
I like this product butBut I don't like costumer servicesBecause thay didn't respond after delivered product perfectlyI purchased this befor 5 monthsNow one side automatically stoped workingAnd I'll contact customer service but thay are not give me any answer and thay don't try to contact me....
"
1951,"
I gifted to my younger brother. He is really happy with the sound quality. It will make you feel as similar as apple AirPods (wired). Must buy.
"
1952,"
If u r looking for budget friendly earphone, than u r at right place... Excellent bass, literally u will shake ur head with each beat, good grip and nice colour(spirit lime)Though i have not heard other expensive earphone till.... But it is showcase....Cons:  ear pain on long tym listening....
"
1953,"
Not satisfied with the product. Guys I suggest you to buy the old boat 225 they are much better. If you are a pro equalizer use then the best Boult audio bass buds are best (oak wood model) it has inbuilt sub woofers.  These are just okay, too much treble
"
1954,"
Sirf 3months me kharaab ho gya... Amazon sirf ghatiya product bech rha... Yha se koi saaman na khareede
"
1955,"
Bass is super low, it can be only heard on full volumes, and listing on full volumes can be bad since the earphones are pretty loud.In build quality on the main wire is of very good quality, but the rest of the build is quite bad.overall its fine for the price but dont justifies the name basshead.
"
1956,"
My first boat product and my experience is awsome now i am gona buy boat wireless neckband under 2000 just comparing which one is best for me i need long battery life . I am using oneplus z bass edition more than 7 months now it not working i break the right side wire some how its my fault other wise great earbuds oneplus
"
1957,"
After using for 3months its started to give trouble. I mean suddenly the volume control stops working. First time disappointed with BOAT
"
1958,"
Good quality buildGood quality sound 💗Loved itThe wire should have been braided though.After a few days it's now available at 399 bucks😅😅😅😅😅May be I should have waited.
"
1959,"
Value for money- fit for ear- pretty decent quality- boat always get you a new one under warrantyOverall it's a good ear phone for meetings and music. True value for money.
"
1960,"
One of the earphones. Compared to bassheads 225/220, the only pro that 225 has is L shape connector and the ear tips that you get is not that great. In other scenarios, it's comforting, slightly better sound and good fit.Wait for some day, when it is priced at 400, buy it.
"
1961,"
I bought this pair of earphones about three months ago and already the one of the sides has stopped working. While the buttons work, there is no sound in the right side. The sound quality is good but it is packaged in a product that breaks down in less than 6 months. Would not recommend unless you can get it heavily discounted.
"
1962,"
Product doesn't work as expected when connect to Laptop.The other user on call hears very feable sound when I connect this earphone .I guess the microphone must get better.Where as it's not the case when I do not use the Earphone
"
1963,"
Worst product. It was good for 4 days the 5th day one side of the headphone had a low volume other side was fine after a week both side of the headphone started having a low volume but the mic was good it was clear it was not grudge
"
1964,"
Best earphone at this price..Wire quality is decent..Bass is great..Treble is also good key quality is very good and this is my favourite colour..
"
1965,"
Sound quality is amazing. Noise cancellation is also good. Bass quality is rocking. Must buy. I want boAt Bassheads 242 in neon colour. I am searching every where in online sites but not available or out of stock that particular neon colour. But Amazon helps me within 4-5 days. Today I got the my favorite boAt Bassheads 242 in neon colour. Thanks a lot Amazon & Thanks boAt also.
"
1966,"
Good sound quality , mic is good during calls , colour is quite different , good bass , but can listen continuously for an hour not more. Go for it. Waterproof and can be used in rain also. Who gives waterproof for ₹399.
"
1967,"
BOAT SPORT,Sound is Awesome 👌🏻, Premium quality 👌🏻 ,BassHEADs 242,Mind-blowing 😇,look like a Finished. With Carry bagGoogle assist, Ear grip light and Color combination Good.colour like fresh.Delivered within 3rd days.
"
1968,"
One of the best earphones at reasonable price. Good noise cancellation and nice bass. A bit issue with comfortability but acceptable. Nice while listening songs during a trip or while resting on bed.Nice grip which is very helpful during jogging.WORTH YOUR PRICE!! MUST TRY AT LEAST ONCE.
"
1969,"
Excellent earphones. This is the best earphone under the range of ₹500. Tops in sound quality, noise elimination and fitting. It comes with a very helpful and small carrying bag or pouch and a sticker. Moreover, just loved the product. Thanks to boAt.#Plug into nirvana
"
1970,"
It's the worst headphone I have ever bought. 🤢🤮The quality of sound and noise cancellation is not as good as they claimed.😠 I bought this 2 month ago, and now while calling, it's being disconnected automatically, and I'm facing too much trouble with this product. I'm very disappointed with it. I'll not suggest u to buy it. 🤕
"
1971,"
I loved this product & even packaging was very good ...... price is little High....we can get this thing ...under 450.rs ..but any way product is good if you are looking for a wired earphones 🎧 little costly but worth it. Ii have used this 2 months & now I am giving review . Personally highly recommended by me ..😉
"
1972,"
For this price, it's way better than any other...
"
1973,"
This is a review after 1 year after the warranty is over (Purchased in Sep 2020).The earphone was outstanding throughout in all the areas (Bass, Mic, Stereo); However after an year, one side of the earphone is not working anymore. As one can expect it to occur from China manufacturers.
"
1974,"
I used it for listening to Music, Movies and phone conversations.Music sounds plain in it, it sounds dull and pathetic,Movie experience is horrible as well.Phone conversations are worse. The person on the other side is hearing 'static' / 'buzz' voice since I received this feeble piece of technology.
"
1975,"
Don't buy boat products!!!! It is my warning to u cause I bought 2 headphone from boat and both are dead in a month boat rockerz 510 and this one so buy another product from another company it will be Ur good choice
"
1976,"
Been only using for 5 months, still good!!Edit:After a year of use, it's not good anymore, but surprisingly I can hear in both sides. I don't think it will last longer than a year.
"
1977,"
It was great one I bought but now after 2 months of usage I am getting some problems on the right side of the headset. And am sure that it will not last longer than 1 month more. Was using a jbl headphone for last 1 year I have gave that one to cousin and bought this one but it totally diapponts
"
1978,"
i have purchased this product 2 month back. from last week one side of headset is not working. This is the first time i am seeing boat product got failed in 2 month. please do the needful
"
1979,"
Loved using this headset. It has better audio quality and its previous version. Loved using it, good bass and clear audio.
"
1980,"
I have ordered it in December last, 2019. It's Oct 2020. The color faded. The sounds quality faded... And now, it stopped working. First 4 months were superb. Then the peformance degraded. Don't BUY
"
1981,"
Sound Quality equal to boat 152 Bassheads... Volume switch and Ear hook,swet resistance is the good features. sometimes ear have pain by the ear hook ,not too much a little bit.mic to jack cable is okk durable,but drivers to mic is small wires and I don't know is it durable
"
1982,"
Mic doesn't working properly sound quality is too poor and cheap don't buyCheapest product ever received from brand BOAT. Under warranty mic not working, call quality is too poor and main thing.... No customer service available . Customer executive never reply your phone calls.
"
1983,"
The ear phone broken cable detached to speaker and speaker is visible out side, I tried keep the speaker inside and close the caps back , but after 2 more days second ear phones also faced same issue, cannt use more than a week, waste product.
"
1984,"
I just received the warranty claimed replaced item bcz after 7 months of usage one of the side stop working. The replaced item is even better than before. Liked the service from boat. Definitely recommend to everyone
"
1985,"
The best at this price. Extremely good sound and bass, clear and even great noise cancellation. I couldn't have asked for more at this price. Stylish, great looking and great color variety. I chose this lemon yellow as this suits my personality.
"
1986,"
I am using this last 2 months and really Better than boat225 I am also used boat225 that is also good but its not comfortable and its not provide the immersive sound. The boat242 provide 3d sound and bass I like the sound Soo much and I am refer u to take this one its really butiful experience with boat ⛵ for me #iloveboat
"
1987,"
Great bass. Fitting is very good. No pain in the.ear.Clarity is good . Can be slightly better for the price. Own both wired and wireless Boats earphones and both are very good quality.
"
1988,"
Very good quality. Easy to handle. wire is also in good quality. I am regularly used. I am kept it in  separate purse. Worth of the product. Sound is also very good when compare to local product.
"
1989,"
Only recommended for bass lover, best earphone in this price range ,but neon colour is not looking amazing best quality and sound quality was amazing sharpness is little bit high and base is ultrahigh, first-time satisfied with an earphone, the mic quality was also amazing and all the buttons are are  nice 🙂well done boat
"
1990,"
Very Very Bad Products And BrandLow Bass ,Sound Quality Is Very BadUse 20min and you feel the pain😍I'm Order 2nd time and both r Very Bad!!!Kindly Improve Your Products!Thank you 😑
"
1991,"
Just Amazing...Really worth buying and the clip that comes with the earphones is very useful..dont loose it.😂Bass-Super clear...Met my expectations.Sound clarity- I observed difference in all songs when listening with these earphones and my regular earphones.These are bass boosted earphones when compared to normal one.
"
1992,"
Everything was perfect 👌👌👌BassSound qualityCableDesignProduct qualityAll were awesomeI am very much satisfiedThank you boatAmazon delivery was fastThank youLittle improvement in packaging by Amazon  should be done
"
1993,"
Product material is good and sound quality is crisp. It's got a equaliser button, but haven't used it. So far I have used these earphones only for my conference calls.
"
1994,"
It is must buy earphone with punchy basssss....The wire is of awesome quality.....It will give you premium look as well as premium feel because of clear and punchy bass ...It will not disappoint you iam sure...If you remove the noice cancellation rubber it will fit properly on my ear ....
"
1995,"
Mass bass qualityClear sound outputIf u want sound quality instead of this headphone u should buy two loud speakers and tied with ur ear because I changed 3 headphone within 3 month because of bass and sound clarity but now I fully satisfied with this headset .Very nice product .More than value for money
"
1996,"
i have enjoyed amazing experiences by the best bass sound quality and amazing outter noise cancellation but it's built quality is very poor build in very cheap plastic metirial it's not worth for money for this built quality but it 100 worth for its performance in audio the tangled wire is so good
"
1997,"
I really liked the earphones it has really nice bass and sound quality noise cancelling is also good but it has a issue that the red par of the hardware gets damaged easily so it ruins the look but if you don't care about the look then it's best for you as the sound and bass is really good
"
1998,"
It is an awesome product. If you are thinking to buy it go for it undoubtedly it will never disappoint you. The music quality,bass quality is awesome it is highly durable product with one year guarantee too .And with boat brand . I am fully satisfied with it and also recommend to buy it.
"
1999,"
Sound quality and bass are great for the price. Major problem I faced while using the product was it's durability around the Audio jack it is not durable enough. It was loosen after three weeks of usage and audio was not clear. But it was replaced easily from the boAt's service center.
"
2000,"
Actually this product is myntra exclusive.The price in myntra was around 1800(including tax).Packing :The packing is perfect with earphones placed securely.the packing itself looks premium.Box contents :Boult audio earphones,a small USB cable to charge,user manual, warranty card(1year warry) and 2 pairs of extra ear tips(small and large).First impression :The earphones look very good and elegant.feels very light in hands.the neck band is made of some soft kind of plastic which is very comfortable to wear.the ear piece is made of metal and looks good and hard.the ear pieces can be attached together by the magnets.the magnet is good enough to hold them tight.the color of earpiece looks good and gives kinda premium look.Buttons :The brick on the right side has the buttons.We get 1 multifunctional button (the middle one)which can be used to power on and power off.you can also attend the calls and end the calls by single pressing them.while playing music you can pause/play by single press.You can adjust the volume by the the 2 buttons which is either side of the multi functional button by single pressing.long press changes the tracks when music is being played.Connectivity :Pairing your boult with your mobile is very easy...just press and hold the power button on the boult untill you feel the vibration twice.turn on the Bluetooth option on your mobile... search for devices and you'll find 'boult audio' just tap it and you'll be paired.also you can hear an audio that your are being connected.Battery:The company has not specified anything about the capacity of the battery.it states that it has 12 hours of playback.yes,the battery backup is good on this.we can easily get 12hours of play time through this earphones.Additional features :These earphones come with built in vibration.whenever you receive a call the earphones will start vibrating. I have to tell you,the vibration os really strong and can easily be Know even if you are in busy (like traveling in bike,or a busy street)But remember if you're getting calls continuously it'll less the battery backup.Sound quality :Sound quality  in these earphones are amazing.The mids are crisp and clear, the vocals are good the bass is also heavy but it's that not punchy.but don't  you can adjust the equalizer and have that punchy base.The call quality is also good because of the condenser microphone .These earphones have noise cancellation which works good.the volume level on these earphones are really high.i cannot go beyond 80% when I'm in office. When I'm on streets I can use full volume to make that noise isolation work.These boult earphones are really budget friendly and has some good premium features.If you're budget is around 1500 these are the best earphones.there are no concerns according to me till now .I'll update when something goes wrong.Update !!!So im using this product for almost 1 year and found no major issues . Except for the battery drop after 8months.As i mentioned,it came with the vibration on calls option , but the models which they're selling now doesn't have this feature.Thank you
"
2001,"
Wowww!! Just awesome! Totally unexpected good quality..Just keep going no two thoughts about purchasing the headphones! only thing I'm waiting is to know it's durability through days to go!
"
2002,"
I have just received my BoultCurve. Its really awesome, sound quality is soooo good. Out of 5, I will give you 5.
"
2003,"
Not expected this within use of 20 days the magnetic part is broken and seperated from the speaker .Product is not good according to the price .
"
2004,"
Why anyone buys a Bluetooth earphone?... So that they can do their work freely while having earphone on. Imagine the voice continuously breaking while you have that plugged into your ears listening to your favorite song.I assure that is one of the most annoying thing you can experience.This is the only issue with the phone...if you are stationary, all ok...In a straight line without anything inbetween the range is 4-5 Metres.Don't even think of jogging with this product.I am editing my comment further after a months use, the connection issue is really troublesome.Even when stationery, it keeps on disconnecting.If your hand comes between the phone and earphone, the voice breaks completely.Never seen anything like that in any wireless earphone before.
"
2005,"
Two major issues: 1) Bluetooth connection stability: this device connects instantly but while on the move the audio is constantly  interrupted. Even if I  keep my hand on the pocket the phone is kept, it interrupts audio (while walking). And not only for few seconds, but it keep on interrupting through out my walk. If I'm using it with the phone in front of me it's awesome, but not at all good while walking.2) Direction of sound: It lacks a very fundamental concept of direction of sound. Left earpiece produces sound coming from right and vice versa. First I had doubt, while playing game. Later on checked using 5d sound test and now confirmed that both earpiece produces sound coming from opposite direction. Left earpiece produces sound coming from right and Right earpiece produces sound coming from left.Used this device for approximately a week.I am writing this review after I placed a replace request. I would try the replaced set and if the issue remains same, I would like a refund.Received the replacement and found same issue with the replaced set too.Update: I requested a refund of the replaced product. Delivery boy collect the product from me...... now after some day, when I enquired about my refund, to my surprise I got to know that the seller updated amazon that I returned a non amazon product........Update: I have not yet received my refund and Amazon says they are still working on the matter.Update: the issue is now resolved and the refund is processed by Amazon.
"
2006,"
Sound quality is good , but bloototh not working properly ,Working only 3 ft, after 3 ft bloototh voice quality disconnected so poor wireless device
"
2007,"
Very bad to start with cons as I don't find any single prosCons: - Battery Draining Too quickly, Within 1hr call at volume level 80, battery drastically dropped from 100 to 80.- Sound distorting when we walk or riding a bike or when we stand near traffic.- Left side ear tip keep on falling, not a perfect fit.- Vibration is very cheap as a Chinese phone- i don't think noise cancellation is there in this device. even in a quiet environment, its too noisy at the other end of the phone call.- Manufacturer not mentioned anything about ip rating and water resistance in the box or manual. but seller posting wrong information in the listing. i have even checked with boult audio website, there is no evidence about water resistance.- no bass at all. even treble is not calibrated rightly sound is too shrilling.- Too Light, it will fly away when you ride a motorcycle with this Boult Audio CurveI had used Soundpeats Q900 and Samsung Level U in my past. Soundpeats have top class experience, Samsung reasonably a good alternative. I bought boult audio curve after seeing a lot of good reviews. but really disappointed purchase. item got delivered today. I requested return and asked for refund same day. this feel like a cheap product which sells less than Rs.500/-
"
